in:Amount columns X,in:Seed for random numbers,in:Amount columns Y,out:name,out:Number of columns X,out:Number of columns Y,out:Column spacing minimum (mm),out:Beam span maximum (mm),out:Y-Label,img
6,47,3,Structure_6_47_3,8,5,1000,8000,0.509926,True.png
7,47,3,Structure_7_47_3,9,5,1000,8000,0.482079,True.png
3,48,3,Structure_3_48_3,5,5,1000,8000,0.417643,True.png
4,48,3,Structure_4_48_3,6,5,1000,8000,0.563848,True.png
5,48,3,Structure_5_48_3,7,5,1000,8000,0.553169,True.png
6,48,3,Structure_6_48_3,8,5,1000,8000,0.526701,True.png
7,48,3,Structure_7_48_3,9,5,1000,8000,0.501563,True.png
3,49,3,Structure_3_49_3,5,5,1000,8000,0.424597,True.png
4,49,3,Structure_4_49_3,6,5,1000,7000,0.646746,True.png
5,49,3,Structure_5_49_3,7,5,1000,6000,0.65659,True.png
6,49,3,Structure_6_49_3,8,5,1000,6000,0.678606,True.png
7,49,3,Structure_7_49_3,9,5,1000,6000,0.650838,True.png
3,50,3,Structure_3_50_3,5,5,1000,8000,0.355681,True.png
4,50,3,Structure_4_50_3,6,5,1000,8000,0.555683,True.png
5,50,3,Structure_5_50_3,7,5,1000,8000,0.540657,True.png
6,50,3,Structure_6_50_3,8,5,1000,8000,0.513455,True.png
7,50,3,Structure_7_50_3,9,5,1000,8000,0.485551,True.png
3,51,3,Structure_3_51_3,5,5,1000,7000,0.679827,True.png
4,51,3,Structure_4_51_3,6,5,1000,7000,0.653559,True.png
5,51,3,Structure_5_51_3,7,5,1000,7000,0.625402,True.png
6,51,3,Structure_6_51_3,8,5,1000,7000,0.599391,True.png
7,51,3,Structure_7_51_3,9,5,1000,7000,0.591235,True.png
3,52,3,Structure_3_52_3,5,5,1000,7000,0.729864,True.png
4,52,3,Structure_4_52_3,6,5,1000,5000,0.786826,True.png
5,52,3,Structure_5_52_3,7,5,1000,5000,0.75817,True.png
6,52,3,Structure_6_52_3,8,5,1000,5000,0.731682,True.png
7,52,3,Structure_7_52_3,9,5,1000,5000,0.703288,True.png
3,53,3,Structure_3_53_3,5,5,1000,7000,0.717133,True.png
4,53,3,Structure_4_53_3,6,5,1000,7000,0.688704,True.png
5,53,3,Structure_5_53_3,7,5,1000,7000,0.686006,True.png
6,53,3,Structure_6_53_3,8,5,1000,7000,0.657694,True.png
7,53,3,Structure_7_53_3,9,5,1000,7000,0.630587,True.png
3,54,3,Structure_3_54_3,5,5,1000,6000,0.737868,True.png
4,54,3,Structure_4_54_3,6,5,1000,6000,0.718623,True.png
5,54,3,Structure_5_54_3,7,5,1000,5000,0.747097,True.png
6,54,3,Structure_6_54_3,8,5,1000,5000,0.727655,True.png
7,54,3,Structure_7_54_3,9,5,1000,5000,0.699783,True.png
3,55,3,Structure_3_55_3,5,5,1000,11000,0.032779,True.png
4,55,3,Structure_4_55_3,6,5,1000,10000,0.10803,True.png
5,55,3,Structure_5_55_3,7,5,1000,9000,0.321976,True.png
6,55,3,Structure_6_55_3,8,5,1000,7000,0.629258,True.png
7,55,3,Structure_7_55_3,9,5,1000,6000,0.605383,True.png
3,56,3,Structure_3_56_3,5,5,1000,11000,-0.205501,True.png
4,56,3,Structure_4_56_3,6,5,1000,11000,-0.033256,True.png
5,56,3,Structure_5_56_3,7,5,1000,11000,-0.057971,True.png
6,56,3,Structure_6_56_3,8,5,1000,11000,0.002373,True.png
7,56,3,Structure_7_56_3,9,5,1000,11000,-0.196741,True.png
3,57,3,Structure_3_57_3,5,5,1000,8000,0.636815,True.png
4,57,3,Structure_4_57_3,6,5,1000,8000,0.624659,True.png
5,57,3,Structure_5_57_3,7,5,1000,8000,0.596765,True.png
6,57,3,Structure_6_57_3,8,5,1000,8000,0.595034,True.png
7,57,3,Structure_7_57_3,9,5,1000,8000,0.568644,True.png
3,58,3,Structure_3_58_3,5,5,1000,6000,0.759662,True.png
4,58,3,Structure_4_58_3,6,5,1000,6000,0.743307,True.png
5,58,3,Structure_5_58_3,7,5,1000,6000,0.727696,True.png
6,58,3,Structure_6_58_3,8,5,1000,6000,0.710894,True.png
7,58,3,Structure_7_58_3,9,5,1000,6000,0.695594,True.png
3,59,3,Structure_3_59_3,5,5,2000,7000,0.70145,True.png
4,59,3,Structure_4_59_3,6,5,2000,6000,0.755165,True.png
5,59,3,Structure_5_59_3,7,5,1000,6000,0.727397,True.png
6,59,3,Structure_6_59_3,8,5,1000,6000,0.699252,True.png
7,59,3,Structure_7_59_3,9,5,1000,6000,0.670322,True.png
3,60,3,Structure_3_60_3,5,5,1000,7000,0.718541,True.png
4,60,3,Structure_4_60_3,6,5,1000,7000,0.701159,True.png
5,60,3,Structure_5_60_3,7,5,1000,7000,0.67358,True.png
6,60,3,Structure_6_60_3,8,5,1000,7000,0.648426,True.png
7,60,3,Structure_7_60_3,9,5,1000,7000,0.646265,True.png
3,61,3,Structure_3_61_3,5,5,1000,6000,0.73949,True.png
4,61,3,Structure_4_61_3,6,5,1000,6000,0.722848,True.png
5,61,3,Structure_5_61_3,7,5,1000,6000,0.704811,True.png
6,61,3,Structure_6_61_3,8,5,1000,6000,0.68936,True.png
7,61,3,Structure_7_61_3,9,5,1000,5000,0.666041,True.png
3,62,3,Structure_3_62_3,5,5,1000,7000,0.681061,True.png
4,62,3,Structure_4_62_3,6,5,1000,6000,0.695685,True.png
5,62,3,Structure_5_62_3,7,5,1000,6000,0.681289,True.png
6,62,3,Structure_6_62_3,8,5,1000,6000,0.652657,True.png
7,62,3,Structure_7_62_3,9,5,1000,6000,0.62451,True.png
3,63,3,Structure_3_63_3,5,5,1000,7000,0.695564,True.png
4,63,3,Structure_4_63_3,6,5,1000,7000,0.692706,True.png
5,63,3,Structure_5_63_3,7,5,1000,7000,0.664204,True.png
6,63,3,Structure_6_63_3,8,5,1000,7000,0.67044,True.png
7,63,3,Structure_7_63_3,9,5,1000,7000,0.646849,True.png
3,64,3,Structure_3_64_3,5,5,1000,6000,0.72904,True.png
4,64,3,Structure_4_64_3,6,5,1000,6000,0.700943,True.png
5,64,3,Structure_5_64_3,7,5,1000,6000,0.705678,True.png
6,64,3,Structure_6_64_3,8,5,1000,6000,0.677745,True.png
7,64,3,Structure_7_64_3,9,5,1000,6000,0.65172,True.png
3,65,3,Structure_3_65_3,5,5,2000,6000,0.735534,True.png
4,65,3,Structure_4_65_3,6,5,2000,6000,0.72557,True.png
5,65,3,Structure_5_65_3,7,5,1000,6000,0.725385,True.png
6,65,3,Structure_6_65_3,8,5,1000,6000,0.696856,True.png
7,65,3,Structure_7_65_3,9,5,1000,6000,0.672004,True.png
3,66,3,Structure_3_66_3,5,5,2000,8000,0.570531,True.png
4,66,3,Structure_4_66_3,6,5,1000,8000,0.554003,True.png
5,66,3,Structure_5_66_3,7,5,1000,7000,0.619815,True.png
6,66,3,Structure_6_66_3,8,5,1000,6000,0.683131,True.png
7,66,3,Structure_7_66_3,9,5,1000,6000,0.673781,True.png
3,67,3,Structure_3_67_3,5,5,1000,8000,0.378196,True.png
4,67,3,Structure_4_67_3,6,5,1000,8000,0.516576,True.png
5,67,3,Structure_5_67_3,7,5,1000,8000,0.539245,True.png
6,67,3,Structure_6_67_3,8,5,1000,8000,0.531383,True.png
7,67,3,Structure_7_67_3,9,5,1000,8000,0.511181,True.png
3,68,3,Structure_3_68_3,5,5,1000,8000,0.376409,True.png
4,68,3,Structure_4_68_3,6,5,1000,8000,0.348679,True.png
5,68,3,Structure_5_68_3,7,5,1000,7000,0.635065,True.png
6,68,3,Structure_6_68_3,8,5,1000,7000,0.660389,True.png
7,68,3,Structure_7_68_3,9,5,1000,7000,0.646845,True.png
3,69,3,Structure_3_69_3,5,5,1000,9000,0.365679,True.png
4,69,3,Structure_4_69_3,6,5,1000,8000,0.234859,True.png
5,69,3,Structure_5_69_3,7,5,1000,8000,0.169015,True.png
6,69,3,Structure_6_69_3,8,5,1000,8000,0.510773,True.png
7,69,3,Structure_7_69_3,9,5,1000,8000,0.492514,True.png
3,70,3,Structure_3_70_3,5,5,1000,9000,0.375003,True.png
4,70,3,Structure_4_70_3,6,5,1000,9000,0.575235,True.png
5,70,3,Structure_5_70_3,7,5,1000,9000,0.550828,True.png
6,70,3,Structure_6_70_3,8,5,1000,9000,0.522707,True.png
7,70,3,Structure_7_70_3,9,5,1000,9000,0.496557,True.png
3,71,3,Structure_3_71_3,5,5,1000,7000,0.673778,True.png
4,71,3,Structure_4_71_3,6,5,1000,7000,0.686978,True.png
5,71,3,Structure_5_71_3,7,5,1000,7000,0.659017,True.png
6,71,3,Structure_6_71_3,8,5,1000,7000,0.630361,True.png
7,71,3,Structure_7_71_3,9,5,1000,7000,0.602439,True.png
3,72,3,Structure_3_72_3,5,5,1000,8000,0.60227,True.png
4,72,3,Structure_4_72_3,6,5,1000,7000,0.656897,True.png
5,72,3,Structure_5_72_3,7,5,1000,6000,0.702545,True.png
6,72,3,Structure_6_72_3,8,5,1000,6000,0.686179,True.png
7,72,3,Structure_7_72_3,9,5,1000,6000,0.658078,True.png
3,73,3,Structure_3_73_3,5,5,2000,8000,0.602362,True.png
4,73,3,Structure_4_73_3,6,5,1000,8000,0.578211,True.png
5,73,3,Structure_5_73_3,7,5,1000,8000,0.593675,True.png
6,73,3,Structure_6_73_3,8,5,1000,8000,0.564739,True.png
7,73,3,Structure_7_73_3,9,5,1000,8000,0.563196,True.png
3,74,3,Structure_3_74_3,5,5,1000,9000,0.413756,True.png
4,74,3,Structure_4_74_3,6,5,1000,7000,0.657086,True.png
5,74,3,Structure_5_74_3,7,5,1000,6000,0.706048,True.png
6,74,3,Structure_6_74_3,8,5,1000,6000,0.677798,True.png
7,74,3,Structure_7_74_3,9,5,1000,6000,0.663453,True.png
