Name;Number_of_columns_X;Number_of_columns_Y;Column_spacing_minimum_(mm);Beam_span_maximum_(mm);Y_label
Structure_5_101_3;7;5;1000;5000;0.71025
Structure_6_101_3;8;5;1000;5000;0.676519
Structure_7_101_3;9;5;1000;5000;0.673386
Structure_3_102_3;5;5;1000;7000;0.724632
Structure_4_102_3;6;5;1000;5000;0.756382
Structure_5_102_3;7;5;1000;5000;0.724946
Structure_6_102_3;8;5;1000;5000;0.696461
Structure_7_102_3;9;5;1000;5000;0.662943
Structure_3_103_3;5;5;1000;8000;0.392477
Structure_4_103_3;6;5;1000;7000;0.707027
Structure_5_103_3;7;5;1000;7000;0.676024
Structure_6_103_3;8;5;1000;7000;0.64744
Structure_7_103_3;9;5;1000;7000;0.619183
Structure_3_104_3;5;5;1000;8000;0.329686
Structure_4_104_3;6;5;1000;8000;0.247752
Structure_5_104_3;7;5;1000;8000;0.559286
Structure_6_104_3;8;5;1000;8000;0.528486
Structure_7_104_3;9;5;1000;8000;0.49506
Structure_3_105_3;5;5;1000;8000;0.635039
Structure_4_105_3;6;5;1000;8000;0.659166
Structure_5_105_3;7;5;1000;8000;0.626019
Structure_6_105_3;8;5;1000;8000;0.594354
Structure_7_105_3;9;5;1000;8000;0.56623
Structure_3_106_3;5;5;1000;7000;0.680722
Structure_4_106_3;6;5;1000;7000;0.66196
Structure_5_106_3;7;5;1000;7000;0.643595
Structure_6_106_3;8;5;1000;7000;0.62601
Structure_7_106_3;9;5;1000;7000;0.608533
Structure_3_107_3;5;5;1000;7000;0.698289
Structure_4_107_3;6;5;1000;7000;0.6683
Structure_5_107_3;7;5;1000;7000;0.666497
Structure_6_107_3;8;5;1000;7000;0.633761
Structure_7_107_3;9;5;1000;7000;0.60836
Structure_3_108_3;5;5;1000;9000;0.407692
Structure_4_108_3;6;5;1000;8000;0.641531
Structure_5_108_3;7;5;1000;6000;0.7094
Structure_6_108_3;8;5;1000;6000;0.67877
Structure_7_108_3;9;5;1000;6000;0.653905
Structure_3_109_3;5;5;1000;9000;0.52015
Structure_4_109_3;6;5;1000;9000;0.587084
Structure_5_109_3;7;5;1000;9000;0.555737
Structure_6_109_3;8;5;1000;9000;0.536545
Structure_7_109_3;9;5;1000;9000;0.502411
Structure_3_110_3;5;5;1000;7000;0.458707
Structure_4_110_3;6;5;1000;7000;0.670928
